id;status;created_date;last_modified_date;created_by;last_modified_by
1;CONVERTED;2025-05-16T05:19:07;2025-05-15T14:10:35;premium;splendid hence although
2;ABANDONED;2025-05-16T06:48:13;2025-05-15T23:02:38;anaesthetise pike out;coarse word
3;EXPIRED;2025-05-15T23:37:50;2025-05-15T14:11:48;between;patiently hmph
4;EXPIRED;2025-05-15T16:06:17;2025-05-16T04:53:12;whenever gerbil;daintily hydrant
5;CONVERTED;2025-05-15T20:34:49;2025-05-15T20:58:59;after effector hopelessly;phooey following
6;EXPIRED;2025-05-15T23:33:18;2025-05-15T13:44:29;out sweetly esteemed;innocent
7;EXPIRED;2025-05-15T15:40:33;2025-05-16T03:51:45;drat underneath;for
8;CONVERTED;2025-05-16T00:26:37;2025-05-16T08:11:22;yet limited;mmm
9;ABANDONED;2025-05-15T10:57:14;2025-05-15T16:19:55;impeccable tenderly;concerning wetly supposing
10;ABANDONED;2025-05-15T23:13:27;2025-05-15T10:55:23;excellent;reprimand
