id;quantity;price;added_date;created_by;created_date;last_modified_by;last_modified_date
1;12100.61;14042.93;2025-05-15T12:54:55;advanced plus;2025-05-15T16:54:44;mill of except;2025-05-16T01:06:26
2;16624.1;13616.78;2025-05-15T18:45:37;overconfidently unbearably owlishly;2025-05-16T04:15:26;individual put for;2025-05-16T03:44:12
3;24814.98;17378.73;2025-05-15T13:04:05;boohoo;2025-05-16T05:28:18;abaft pro finally;2025-05-15T09:40:19
4;24528.39;8307.07;2025-05-16T05:38:51;untimely vibrant;2025-05-15T20:33:06;including favorite;2025-05-16T08:47:22
5;7547.73;14697.78;2025-05-16T09:24:50;knowingly;2025-05-16T02:51:18;dusk;2025-05-15T16:04:43
6;30758.78;17905.79;2025-05-16T07:57:19;rejoin suburban after;2025-05-16T03:01:35;phew overtrain bend;2025-05-15T13:55:14
7;32357.57;16443.93;2025-05-16T07:31:01;pop past;2025-05-16T04:20:00;far optimistically plain;2025-05-16T01:21:05
8;886.36;27333.36;2025-05-16T08:09:20;live ridge;2025-05-16T04:48:53;majority wobbly brightly;2025-05-15T14:19:45
9;24046.56;9385.51;2025-05-16T04:33:21;stingy abscond typify;2025-05-15T22:25:28;reorient accomplished yet;2025-05-15T10:06:28
10;20467.44;24910.6;2025-05-16T01:57:26;international indeed;2025-05-16T04:43:19;during;2025-05-16T04:49:59
