id;quantity;available_quantity;status;created_by;created_date;last_modified_by;last_modified_date
1;14758.88;17260.52;RESERVED;what;2025-05-16T00:00:01;inquisitively monthly;2025-05-15T15:22:44
2;18549.99;14757.39;EXPIRED;naturally;2025-05-16T06:26:24;squiggly distinction bah;2025-05-16T08:51:59
3;22566;12979.24;EXPIRED;hepatitis opposite unwilling;2025-05-16T01:36:28;apropos;2025-05-15T17:28:48
4;14897.89;32420.82;DAMAGED;apud;2025-05-15T13:50:21;yum;2025-05-15T10:35:36
5;25667.55;954.26;EXPIRED;yum prejudge;2025-05-15T18:43:59;sweetly scorn;2025-05-15T17:13:46
6;3512.03;32614.95;DAMAGED;near;2025-05-16T08:38:12;till innocently that;2025-05-15T19:06:51
7;15421.1;13530.61;RESERVED;scramble;2025-05-15T23:01:15;provided as annually;2025-05-16T01:13:30
8;25039.25;26699.86;DAMAGED;as mould;2025-05-15T12:43:31;although;2025-05-15T11:10:57
9;29645.76;1822.97;AVAILABLE;entice;2025-05-15T23:50:23;under irk peaceful;2025-05-16T00:03:19
10;28891.45;5825.6;AVAILABLE;early weight affect;2025-05-15T18:19:49;riser rusty;2025-05-15T10:29:35
