id;receipt_number;submission_date;status;review_date;review_notes;created_by;created_date;last_modified_by;last_modified_date
1;while;2025-05-15T12:45:49;UNDER_REVIEW;2025-05-15T21:47:28;fooey modulo;whose circa;2025-05-15T18:52:22;or limited bob;2025-05-16T06:20:21
2;whopping saw than;2025-05-15T19:39:50;APPROVED;2025-05-16T03:15:41;atop bleakly;spear gee enormously;2025-05-15T13:28:11;loose;2025-05-15T20:07:27
3;fatherly wearily enthusiastically;2025-05-15T14:58:12;UNDER_REVIEW;2025-05-16T02:08:23;geez barring how;quietly;2025-05-15T16:39:22;owlishly;2025-05-16T04:46:03
4;settle;2025-05-15T11:43:24;REJECTED;2025-05-15T11:24:46;outfit;when;2025-05-16T02:03:47;fraternise;2025-05-15T14:46:01
5;which over up;2025-05-16T09:12:25;UNDER_REVIEW;2025-05-16T02:48:55;even eek;premium lazily ouch;2025-05-15T10:35:25;overheard underneath;2025-05-15T23:20:22
6;whoa;2025-05-16T04:20:50;REJECTED;2025-05-16T05:11:42;practical hopelessly;vibrant shrill;2025-05-15T18:20:12;above;2025-05-16T07:59:00
7;stake till;2025-05-16T00:42:17;SUBMITTED;2025-05-15T21:24:17;oof;ham harangue;2025-05-16T03:55:53;kiddingly for;2025-05-15T22:12:28
8;bump altruistic aha;2025-05-15T20:14:44;UNDER_REVIEW;2025-05-15T19:11:06;deck pleasure;obediently outside judgementally;2025-05-16T07:50:52;powerfully hospitable recount;2025-05-15T15:44:49
9;fairly;2025-05-16T02:25:43;UNDER_REVIEW;2025-05-16T06:25:12;considering;wonderful;2025-05-16T01:57:24;circa shoddy;2025-05-15T19:56:55
10;blah;2025-05-16T01:37:58;UNDER_REVIEW;2025-05-15T23:15:15;loftily deselect slight;creaking victoriously into;2025-05-15T11:00:55;indeed;2025-05-16T02:02:36
