id;reference;date;notes;status;shipping;mission_fee;handling;cost_total;tva_rate;stamp_rate;discount_rate;tva_amount;stamp_amount;discount_amount;sub_total;total;created_by;created_date;last_modified_by;last_modified_date
1;beneath than;2025-05-15T16:51:04;enchanting waltz within;RETURNED;26821.77;21560.93;17937.31;4262.09;2369.78;28613.27;17640.3;3613.03;29982.34;28590.61;25139.44;2623.7;worldly fully;2025-05-15T23:24:54;discrete jiggle especially;2025-05-16T04:18:24
2;um encouragement;2025-05-16T07:10:42;hmph and overstay;DRAFTED;5796.84;18055.63;27282.33;13664.88;22498.31;29858.17;29708.36;27042.43;24720.14;3841.19;31904.3;26202.68;well utilized unnecessarily;2025-05-16T04:40:44;during hm;2025-05-16T04:14:00
3;sneaky fine;2025-05-15T14:33:28;service;CONFIRMED;6583.87;19004.51;12150.78;21176.58;2790.68;6827.9;30726.56;8888.59;31152.2;9625.57;19820.33;29341.97;even vice er;2025-05-16T03:50:52;murky coolly supposing;2025-05-16T06:18:52
4;idolized knottily beneath;2025-05-15T23:15:43;to psst interchange;RETURNED;29802.35;26868.64;16939.29;686.42;11785.63;937.72;28928.84;5283.06;19790.2;2963.97;1204.96;21581.35;greedily;2025-05-15T19:08:21;ripe carp;2025-05-16T00:17:23
5;ew along;2025-05-16T06:35:25;subtle merrily hmph;RETURNED;31482.07;1015.24;941.54;17607.59;14395.71;30295.94;4815.12;11864.08;32655.96;27488.54;30482.58;6205.15;whether because cautiously;2025-05-15T16:40:49;hm;2025-05-15T12:07:31
6;yippee;2025-05-15T23:24:18;gadzooks;RETURNED;24161.03;9305.48;23848.74;10922.63;21305.21;4190.61;27525.79;29230.27;16644.04;1065.78;22038.29;30010.32;until blossom;2025-05-15T14:06:30;hyphenation beside unless;2025-05-16T07:05:08
7;offensively serpentine broadly;2025-05-15T23:45:35;beside creator;DRAFTED;20857.98;16881.97;12067.48;20676.44;4811.19;3018.54;10630.74;27325.47;24692.19;17817.51;18226.59;21678.29;aw motionless urgently;2025-05-15T11:45:36;near when;2025-05-16T06:37:49
8;up accidentally;2025-05-16T01:35:08;rundown;RETURNED;16951.79;10254.62;11212.6;25846;14512.78;25701.39;12739.08;26939.58;8060.96;27838.78;30634.97;4186.26;pulverize riser;2025-05-15T17:13:21;afterwards ew;2025-05-15T19:08:32
9;duster;2025-05-15T09:51:52;easily;CANCELLED;3801.52;11605.17;5720.62;29269.28;458.28;23078.74;17251.01;22068.88;5366.49;4204.14;18621.88;11203.73;wee fatally;2025-05-16T02:05:30;vivaciously now;2025-05-16T06:50:32
10;scaffold procurement;2025-05-15T11:44:02;outrun;RETURNED;8721.51;26516.72;11979.2;5164.16;3472.68;22050.2;31424.11;16292.53;25378.54;15638.9;22160.91;5413.49;joyfully glossy times;2025-05-16T06:50:53;excluding edge about;2025-05-15T14:20:15
