id;quantity;unit_price;total;created_by;created_date;last_modified_by;last_modified_date
1;23310.66;32111.13;32521.53;bemuse;2025-05-16T07:29:05;striking huzzah;2025-05-16T03:24:22
2;7356.73;7614.84;13018.71;curry;2025-05-15T11:12:10;warmhearted given;2025-05-16T06:46:40
3;14988.47;3859.19;16849.29;than fashion;2025-05-16T07:40:57;outside when disbar;2025-05-16T04:56:30
4;17221.91;16967.77;25662.79;gadzooks;2025-05-16T04:33:28;without from;2025-05-15T22:17:15
5;2842.72;19389.42;30851.49;towards doorpost lest;2025-05-15T15:48:47;boo meanwhile because;2025-05-16T06:11:10
6;29496.29;4581.1;20826.21;why below;2025-05-15T13:46:25;lest;2025-05-16T01:19:08
7;11750.81;15527.96;27443.13;yowza lucky;2025-05-16T04:08:12;webbed apud;2025-05-16T03:32:27
8;27796.58;21406.8;30203.09;enlightened accidentally aboard;2025-05-15T21:36:01;pace strictly carboxyl;2025-05-15T10:54:49
9;26116.14;3259.4;22508.96;down surprised;2025-05-15T16:06:49;skeleton wide-eyed;2025-05-15T23:12:26
10;23521.14;6493.11;32709.78;hm supposing;2025-05-15T16:23:50;since boohoo;2025-05-16T03:53:56
