id;users;products;product_families;showcased_products;sale_orders;purchase_orders;customers;suppliers;shipments;reset_date;created_by;created_date;last_modified_by;last_modified_date
1;22108;20236;20110;8304;16766;13018;16067;22057;31064;2025-05-16T03:41:40;greatly mushy;2025-05-16T09:24:56;quarrelsomely triumphantly;2025-05-15T14:59:07
2;22573;10356;6007;30534;20603;31769;30399;13;24571;2025-05-15T19:17:24;kookily supposing generally;2025-05-15T13:39:30;destock as;2025-05-15T12:55:12
3;20135;15255;14308;11126;32035;31589;19607;10599;16991;2025-05-15T21:12:23;excited guidance;2025-05-15T22:57:22;hose aw wildly;2025-05-15T17:51:02
4;30606;1967;20797;18882;14448;17312;16417;24440;15251;2025-05-15T21:02:22;wear what aw;2025-05-15T18:20:09;now;2025-05-15T14:37:09
5;15076;25642;5306;23849;5693;1406;4947;28548;14760;2025-05-16T04:12:27;as;2025-05-15T18:29:33;sonata scarily;2025-05-15T22:45:03
6;10184;32239;9079;2722;3461;20124;14928;27906;8440;2025-05-16T01:19:59;although ack athwart;2025-05-16T04:47:19;roadway;2025-05-15T11:34:32
7;9348;6379;21301;24929;11835;963;10555;31721;5743;2025-05-15T10:50:07;without skeleton;2025-05-15T18:22:28;loosely;2025-05-16T08:26:51
8;6894;26681;710;23634;9046;32236;18784;8233;26686;2025-05-15T22:05:36;how;2025-05-16T05:38:25;why impartial maintainer;2025-05-16T09:04:17
9;11956;1094;10146;32689;24423;24338;9462;26128;31806;2025-05-15T18:42:56;outlying lawful;2025-05-15T19:57:02;delightfully ick;2025-05-15T23:48:52
10;22655;23945;3652;27192;23501;16035;27999;3130;20437;2025-05-15T10:37:28;import disapprove that;2025-05-16T02:25:48;valiantly;2025-05-15T23:50:01
