id;resource_type;max_amount;is_unlimited;created_by;created_date;last_modified_by;last_modified_date
1;rudely;30202;true;beside into;2025-05-16T01:16:59;executor;2025-05-15T22:45:31
2;near towards;4885;false;guzzle inasmuch;2025-05-15T19:41:34;platter midst;2025-05-16T07:12:50
3;slight once;26325;true;circa boohoo;2025-05-15T14:42:20;from;2025-05-15T23:02:33
4;an foolishly plait;22958;true;cycle duh;2025-05-15T16:14:50;once;2025-05-15T09:54:52
5;quizzically density;4044;false;who meanwhile seafood;2025-05-15T10:12:46;whether who;2025-05-16T02:08:46
6;highly awareness;21743;true;charm distorted yippee;2025-05-16T02:27:25;considering phew;2025-05-15T12:26:03
7;lest;26068;false;friendly fibre;2025-05-16T01:16:13;nor at commonly;2025-05-15T15:14:17
8;failing to junior;14036;false;owlishly though;2025-05-15T22:52:01;bony;2025-05-16T03:29:49
9;rejigger;12463;true;runway gulp;2025-05-16T03:15:22;eek cap huzzah;2025-05-15T19:29:36
10;yippee;26960;true;up although upward;2025-05-16T04:31:38;blind;2025-05-15T20:44:25
