id;name;description;is_system_role;created_by;created_date;last_modified_by;last_modified_date
1;phew;boastfully make;true;off contravene boo;2025-05-15T16:54:23;pfft proud minus;2025-05-15T12:41:09
2;circulate;who;true;that;2025-05-15T22:21:05;distinct liquid;2025-05-16T04:17:16
3;yippee;shimmering;false;massage mobilise;2025-05-15T21:00:22;overreact napkin furthermore;2025-05-15T10:02:35
4;until nor yahoo;why forgather eek;true;physical seldom hm;2025-05-15T10:10:58;fidget snarling um;2025-05-16T04:52:22
5;unabashedly;aw ack;false;extremely;2025-05-16T09:05:10;forenenst;2025-05-16T00:58:03
6;oof given;convince even accompanist;true;instantly scarily;2025-05-16T00:40:11;clean over approach;2025-05-16T07:15:05
7;whether as;override;false;dulcimer to over;2025-05-15T13:56:57;revoke;2025-05-15T20:48:33
8;healthily;pressure hmph;false;boggle acknowledge busily;2025-05-16T08:05:18;oh whole haze;2025-05-16T05:14:13
9;fully;peaceful enthusiastically;false;provider carouse infinite;2025-05-15T17:56:38;shovel;2025-05-15T19:06:23
10;quirkily among honored;pfft;false;store times;2025-05-16T07:52:19;zowie now;2025-05-15T22:07:13
