id;reference;date;due_date;notes;status;tva_rate;stamp_rate;discount_rate;tva_amount;stamp_amount;discount_amount;sub_total;total;sale_type;created_by;created_date;last_modified_by;last_modified_date
1;joyously;2025-05-16T05:20:37;2025-05-15T19:29:11;sideboard aw gosh;PROCESSING;22410.83;29497.34;2667.47;8884.89;18097.6;8022.61;30831.39;12886.58;INVOICE;unto;2025-05-15T16:01:24;sternly incidentally;2025-05-16T08:02:38
2;surprised;2025-05-15T12:04:01;2025-05-15T10:11:08;towards;PROCESSING;4536.2;23916.36;2753.33;27117.76;5291.71;29370.92;26324.49;14146.39;INVOICE;whenever;2025-05-15T12:48:56;properly gee;2025-05-15T17:42:19
3;muscat key;2025-05-16T01:03:24;2025-05-15T19:05:51;sparse;PROCESSING;9471.38;16670.26;18154.98;8897.6;12515.05;7559.11;27214.04;19868.55;RECEIPT;nor woot lone;2025-05-15T13:36:52;unwelcome;2025-05-16T05:30:50
4;what;2025-05-15T21:22:49;2025-05-15T18:51:33;glossy;CONFIRMED;29077.03;27838.46;10433.33;26381.6;9029.14;9879.41;23561.18;13458.05;RECEIPT;regal yarmulke;2025-05-15T20:41:08;wherever;2025-05-15T17:02:02
5;sans madly;2025-05-15T10:07:20;2025-05-15T18:05:44;outside unless bah;DRAFTED;23242.57;12243.14;27140.98;21231.82;30705.64;14284.4;31317.89;11925.53;RECEIPT;likewise;2025-05-16T00:03:10;gah;2025-05-15T16:10:01
6;afore without;2025-05-15T19:23:15;2025-05-15T16:11:32;phew given excluding;CANCELLED;8400.74;26164.77;15787.56;30581.61;23797.37;28311.11;4022.46;5852.01;INVOICE;dependable reel;2025-05-15T21:04:37;faint part;2025-05-15T16:56:52
7;versus flu reluctantly;2025-05-16T00:10:50;2025-05-15T10:25:34;huzzah magnetize;CANCELLED;20233.63;23007.99;22843.79;25794.53;13553.16;14259.85;27622.51;27365.41;INVOICE;ew phooey if;2025-05-15T18:13:18;avalanche;2025-05-16T03:15:08
8;old-fashioned opposite meanwhile;2025-05-16T05:47:24;2025-05-15T13:30:30;muted via failing;CANCELLED;19480.23;23550.11;32606.07;30309.68;17089.18;11112.86;30638.48;30690.2;INVOICE;psst;2025-05-16T02:19:00;calmly upside-down;2025-05-16T03:31:21
9;bidet aha;2025-05-15T15:28:42;2025-05-15T17:21:09;from;RETURNED;26874.78;14811.1;29765.04;9089.8;11205.84;18373.51;27768.46;27276.57;RECEIPT;yawningly;2025-05-15T19:27:11;illustrious considering where;2025-05-16T00:34:11
10;ravage behest;2025-05-16T08:06:02;2025-05-15T15:00:59;apud;CANCELLED;5070.28;21547.18;23506.21;3325.84;3807.21;19084.97;19037;16059.99;INVOICE;sophisticated angle concerning;2025-05-16T03:28:38;climb;2025-05-16T02:55:35
