id;quantity;unit_price;total;created_by;created_date;last_modified_by;last_modified_date
1;18869.3;14090.46;32634.23;mash exactly;2025-05-15T20:08:39;elderly loyally aha;2025-05-16T04:16:00
2;13046.6;28015.39;26155.24;officially;2025-05-15T18:33:50;ha strident;2025-05-16T07:46:16
3;14981.44;20381.55;16788.87;inasmuch;2025-05-15T23:23:57;fast frizzy strictly;2025-05-15T20:38:12
4;31422.45;2787.76;8106.56;while thankfully self-assured;2025-05-16T06:01:19;meanwhile though factorize;2025-05-15T20:45:04
5;30923.5;31769.8;17720.99;retract considering innocently;2025-05-15T13:50:27;unwritten seldom even;2025-05-16T00:37:22
6;7825.06;22645.33;10911.83;only ferociously fax;2025-05-16T06:29:24;ew via adumbrate;2025-05-16T08:16:43
7;21853.98;17954.79;15857.44;lest;2025-05-15T18:17:59;collaborate which arrange;2025-05-16T05:18:11
8;15738.9;25632.92;28583.33;joyously;2025-05-16T03:54:00;fold;2025-05-16T01:43:12
9;7599.63;15187.47;8962.47;pertain gaseous;2025-05-15T16:04:17;doing minor questioningly;2025-05-15T14:58:39
10;18937.14;23902.77;10393.77;peaceful massage;2025-05-15T13:37:24;blend teriyaki;2025-05-15T22:58:54
