id;start_date;end_date;status;payment_method;actual_price;created_by;created_date;last_modified_by;last_modified_date
1;2025-05-15T15:56:04;2025-05-15T16:56:03;EXPIRED;flimsy;24530.71;minty clearly;2025-05-15T10:28:20;from worth;2025-05-15T23:54:58
2;2025-05-15T14:50:21;2025-05-15T13:09:31;ACTIVE;indeed instructive;32069.99;finally;2025-05-16T00:41:09;unexpectedly a and;2025-05-16T06:56:51
3;2025-05-16T09:05:19;2025-05-15T11:30:04;PENDING;boo turret unripe;496.68;innocently reorient;2025-05-15T20:41:00;coordination;2025-05-16T07:47:41
4;2025-05-16T06:22:23;2025-05-15T23:33:05;ACTIVE;boldly hm ew;19331.62;fairly permafrost;2025-05-15T13:51:27;accidentally towards;2025-05-16T07:02:34
5;2025-05-15T23:07:15;2025-05-16T06:49:53;EXPIRED;efface;17229.17;fondly although;2025-05-15T11:24:44;baseboard;2025-05-16T04:23:15
6;2025-05-15T19:46:31;2025-05-15T15:11:57;ACTIVE;oddball for pro;6478.9;tusk considering underneath;2025-05-16T01:44:19;ugh;2025-05-15T14:27:22
7;2025-05-15T15:58:08;2025-05-15T22:33:37;EXPIRED;profuse foolish outside;9943.01;when;2025-05-15T18:06:17;blah outlaw;2025-05-15T23:38:47
8;2025-05-15T10:54:21;2025-05-15T20:38:35;PENDING;badly;7043.13;inside dulcimer meanwhile;2025-05-15T16:46:37;minor daughter;2025-05-15T11:17:52
9;2025-05-15T16:45:25;2025-05-15T22:53:01;CANCELLED;eek;16025.93;whoa hunt shirk;2025-05-15T18:44:35;even fiercely yahoo;2025-05-15T15:46:16
10;2025-05-15T12:41:46;2025-05-16T05:03:21;PENDING;yet inside;3597.98;unto reproach smoothly;2025-05-16T00:09:05;lest;2025-05-15T11:32:05
